town,ward,precinct,office,district,party,candidate,votes
Springfield,4,D,U.S. House,2nd,,All Others,2
Dartmouth,-,5,State House,9th Bristol,,Total Votes Cast,1848
Worcester,1,5,U.S. House,3rd,,All Others,46
Hanover,-,4,State Senate,2nd Plymouth and Bristol,,All Others,27
Boston,13,10,Governor's Council,4th,,Blank Votes,410
Randolph,-,4,President,,,No Preference,0
Uxbridge,-,1,U.S. House,2nd,,All Others,24
Marshfield,-,6,Governor's Council,4th,,Total Votes Cast,2402
Melrose,7,1,State Senate,3rd Essex and Middlesex,,All Others,9
TOTALS,,,State House,18th Middlesex,Unenrolled,Kenneth J. Patrician,1289
Boston,7,7,U.S. Senate,,Republican,Jeffrey K. Beatty,62
Lee,-,6,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Benjamin Brackett Downing,426
Boston,18,19,President,,,No Preference,0
Andover,-,7,State House,18th Essex,Democratic,Barbara A. L'Italien,1177
Newbury,-,2,President,,Republican,McCain and Palin,984
Dedham,-,1,Governor's Council,2nd,,Total Votes Cast,1789
Amherst,-,6,U.S. House,1st,Democratic,John W. Olver,1476
TOTALS,,,State House,8th Middlesex,,Blank Votes,1463
Kingston,-,4,State Senate,Plymouth and Barnstable,Democratic,Therese Murray,1191
Melrose,1,1,State Senate,Middlesex and Essex,,Total Votes Cast,1157
Chelmsford,-,6,President,,,All Others,15
Boston,20,20,President,,Democratic,Obama and Biden,782
Ipswich,-,1,U.S. House,6th,Democratic,John F. Tierney,1260
Holliston,-,2,Governor's Council,2nd,,All Others,19
Springfield,6,C,State House,2nd Hampden,,Blank Votes,100
Wilmington,-,2,U.S. Senate,,Libertarian,Robert J. Underwood,55
Gosnold,-,1,State Senate,Cape and Islands,Democratic,Robert A. O'Leary,59
Boston,9,5,U.S. Senate,,,Blank Votes,70
Taunton,2,A,U.S. House,4th,,Total Votes Cast,785
Lawrence,D,3,President,,,Total Votes Cast,667
Royalston,-,1,State House,2nd Worcester,Democratic,Robert L. Rice,264
Newton,6,1,U.S. House,4th,,All Others,4
Boston,9,5,President,,Constitution Party,Baldwin and Castle,1
Bedford,-,3,President,,,Total Votes Cast,2114
Woburn,4,2,President,,Constitution Party,Baldwin and Castle,3
Boston,14,11,State House,6th Suffolk,Democratic,Willie Mae Allen,399
Arlington,-,19,U.S. House,7th,Republican,John Cunningham,262
Fitchburg,5,A,President,,,Total Votes Cast,1793
Middleton,-,2,President,,,All Others,5
Falmouth,-,3,U.S. House,10th,,Blank Votes,494
Swampscott,-,5,State House,8th Essex,Unenrolled,Mark W. Barry,17
Plymouth,-,12,State House,1st Plymouth,,All Others,2
Oxford,-,2,State Senate,Worcester and Norfolk,Democratic,Richard T. Moore,1152
Pittsfield,2,B,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Benjamin Brackett Downing,1252
Marlborough,4,2,U.S. House,3rd,,Blank Votes,345
Winchester,-,4,President,,Libertarian,Barr and Root,6
Chicopee,2,D,President,,Democratic,Obama and Biden,407
Mashpee,-,1,State Senate,Cape and Islands,,All Others,4
Millville,-,1,Governor's Council,7th,Democratic,Thomas J. Foley,1116
Billerica,-,9,State Senate,4th Middlesex,,Blank Votes,110
E. Bridgewater,-,3,U.S. House,9th,,Blank Votes,476
Braintree,-,10,State House,5th Norfolk,Unenrolled,Richard A. Moran,355
Melrose,2,1,U.S. House,7th,Republican,John Cunningham,296
Norwell,-,2,President,,Unenrolled,Nader and Gonzalez,15
Lawrence,B,3,State Senate,2nd Essex and Middlesex,Democratic,Susan C. Tucker,533
Worcester,9,3,U.S. House,3rd,,Blank Votes,304
Revere,5,3,State House,19th Suffolk,Democratic,Robert A. DeLeo,672
Newton,4,4,State House,11th Middlesex,,All Others,10
Rowley,-,1,U.S. House,6th,,Total Votes Cast,3449
Hull,-,3,President,,Unenrolled,Nader and Gonzalez,31
Woburn,4,2,President,,,All Others,7
Woburn,3,2,State Senate,4th Middlesex,,Blank Votes,178
Salem,5,2,President,,,Total Votes Cast,1098
Ipswich,-,2,State Senate,1st Essex and Middlesex,,All Others,0
Foxborough,-,3,President,,,No Preference,0
Amherst,-,10,Governor's Council,8th,Republican,Michael Franco,78
Foxborough,-,1,State House,1st Bristol,Republican,Fred Jay Barrows,945
Randolph,-,2,President,,,Total Votes Cast,1665
Weymouth,-,16,U.S. House,10th,,All Others,21
Melrose,5,1,President,,Libertarian,Barr and Root,4
Belmont,-,8,State Senate,2nd Suffolk and Middlesex,,Blank Votes,548
Fall River,2,C,State Senate,1st Bristol and Plymouth,,Blank Votes,274
Dracut,-,8,U.S. House,5th,,Blank Votes,483
Cambridge,8,3,U.S. House,8th,,Blank Votes,65
Scituate,-,2,U.S. House,10th,,Blank Votes,533
Haverhill,3,1,State Senate,1st Essex,,Total Votes Cast,732
Springfield,2,F,President,,,Total Votes Cast,865
Boston,4,10,State Senate,2nd Suffolk and Middlesex,,Blank Votes,93
Medford,5,1,President,,,All Others,13
Cambridge,2,2,State Senate,1st Suffolk and Middlesex,Democratic,Anthony W. Petruccelli,289
Haverhill,7,2,Governor's Council,5th,,Blank Votes,436
Holyoke,4,A,State House,5th Hampden,,Blank Votes,124
Holbrook,-,4,State House,3rd Norfolk,,Blank Votes,343
Somerville,7,1,U.S. House,8th,,All Others,30
Mashpee,-,5,U.S. House,10th,,All Others,13
Boston,19,9,U.S. Senate,,,Total Votes Cast,627
Milton,-,3,President,,Green-Rainbow,McKinney and Clemente,2
Milton,-,6,Governor's Council,2nd,,Total Votes Cast,1534
Canton,-,3,President,,,Blank Votes,12
Kingston,-,2,Governor's Council,1st,,Total Votes Cast,1784
Ware,-,A,U.S. House,1st,,Blank Votes,55
Montague,-,6,State House,1st Franklin,,Total Votes Cast,662
Norfolk,-,4,President,,Constitution Party,Baldwin and Castle,2
Newton,1,2,U.S. House,4th,Republican,Earl Henry Sholley,214
Quincy,6,3,President,,,Blank Votes,32
Revere,2,1,President,,,Blank Votes,7
Natick,-,8,U.S. House,7th,,Total Votes Cast,1725
Tolland,-,1,U.S. Senate,,Democratic,John F. Kerry,140
Boston,14,1,President,,Green-Rainbow,McKinney and Clemente,1
Saugus,-,4,U.S. Senate,,,Blank Votes,64
Boston,12,1,Governor's Council,4th,,All Others,15
Lawrence,A,3,President,,Libertarian,Barr and Root,1
Brockton,2,B,State House,9th Plymouth,Democratic,Michael D. Brady,632
E. Longmeadow,-,4,U.S. Senate,,,All Others,0
Saugus,-,9,Governor's Council,5th,,All Others,8
W. Tisbury,-,1,State House,"Barnstable, Dukes and Nantucket",Democratic,Daniel James Larkosh,701
Lexington,-,2,President,,Libertarian,Barr and Root,9
Boston,17,1,State Senate,1st Suffolk,,Blank Votes,193
Belchertown,-,A,U.S. Senate,,Democratic,John F. Kerry,1147
Southwick,-,2,President,,Libertarian,Barr and Root,6
Springfield,4,H,President,,Republican,McCain and Palin,19
Holden,-,4,U.S. Senate,,,Total Votes Cast,2174
Newton,1,1,U.S. House,4th,,Blank Votes,106
Burlington,-,1,State Senate,4th Middlesex,,Total Votes Cast,2281
Revere,5,1,U.S. House,7th,,Total Votes Cast,893
Lawrence,E,4,State House,17th Essex,,All Others,19
TOTALS,,,State House,8th Essex,Republican,John Blaisdell,2121
Boston,12,1,President,,,No Preference,0
Wayland,-,3,President,,Green-Rainbow,McKinney and Clemente,1
Wilbraham,-,B,U.S. Senate,,Democratic,John F. Kerry,1126
Newton,2,3,U.S. Senate,,Democratic,John F. Kerry,1719
Wareham,-,3,President,,Democratic,Obama and Biden,1050
Haverhill,7,3,State House,2nd Essex,Democratic,Harriett L. Stanley,1185
Chicopee,8,B,President,,,All Others,9
Revere,1,1,President,,Republican,McCain and Palin,364
Lynn,2,2,U.S. Senate,,Republican,Jeffrey K. Beatty,197
Brewster,-,3,U.S. Senate,,,Total Votes Cast,2187
Boston,18,5,U.S. House,8th,,Blank Votes,313
Boston,1,6,President,,,Blank Votes,7
Montague,-,6,President,,Constitution Party,Baldwin and Castle,0
Northampton,2,B,President,,Republican,McCain and Palin,39
Waltham,2,2,President,,,All Others,16
Lowell,10,3,U.S. House,5th,Democratic,Nicola S. Tsongas,381
Attleboro,1,B,State House,2nd Bristol,,Total Votes Cast,1623
Salem,4,2,President,,,Total Votes Cast,1439
W. Newbury,-,1,State Senate,1st Essex and Middlesex,Republican,Bruce E. Tarr,1898
Boston,1,15,State House,4th Suffolk,,Total Votes Cast,0
Spencer,-,4,U.S. Senate,,Libertarian,Robert J. Underwood,51
Dennis,-,2,U.S. House,10th,,Total Votes Cast,2078
Haverhill,6,3,U.S. House,5th,,Blank Votes,356
Middleton,-,2,State House,4th Essex,Republican,Bradford R. Hill,992
Ludlow,-,3,U.S. Senate,,Libertarian,Robert J. Underwood,86
Brockton,7,D,President,,Unenrolled,Nader and Gonzalez,13
Shelburne,-,1,Governor's Council,8th,Republican,Michael Franco,140
TOTALS,,,State House,36th Middlesex,Democratic,Colleen M. Garry,15369
Haverhill,1,3,U.S. Senate,,Republican,Jeffrey K. Beatty,328
Montague,-,4,U.S. Senate,,Democratic,John F. Kerry,563
Sturbridge,-,1,President,,,Blank Votes,3
Braintree,-,8,State Senate,Norfolk and Plymouth,,Total Votes Cast,1228
Walpole,-,2,U.S. House,9th,Democratic,Stephen F. Lynch,1322
Wrentham,-,1,President,,Constitution Party,Baldwin and Castle,4
Boston,20,14,President,,,No Preference,0
Barnstable,-,6,U.S. House,10th,,All Others,0
Plymouth,-,13,President,,Unenrolled,Nader and Gonzalez,20
Watertown,-,12,State House,29th Middlesex,Democratic,Jonathan Hecht,935
New Bedford,4,D,State House,12th Bristol,Democratic,Stephen R. Canessa,520
Boston,13,7,U.S. Senate,,Democratic,John F. Kerry,516
Wilbraham,-,C,Governor's Council,8th,Democratic,Thomas T. Merrigan,807
Westfield,6,A,U.S. Senate,,,Total Votes Cast,1695
Fitchburg,3,B,U.S. Senate,,Democratic,John F. Kerry,880
Malden,1,2,State Senate,Middlesex and Essex,Republican,Richard R. Tisei,718
Brockton,2,C,U.S. Senate,,Libertarian,Robert J. Underwood,5
Easthampton,-,1,Governor's Council,8th,,Blank Votes,196
Lowell,3,1,State House,18th Middlesex,Democratic,Kevin J. Murphy,646
Newton,7,4,State House,12th Middlesex,,Blank Votes,312
Rutland,-,1,President,,,Blank Votes,13
Holyoke,4,B,Governor's Council,8th,Democratic,Thomas T. Merrigan,636
Duxbury,-,3,State House,6th Plymouth,,All Others,17
Fall River,7,B,U.S. Senate,,Democratic,John F. Kerry,583
Boston,21,13,President,,Constitution Party,Baldwin and Castle,3
N. Attleborough,-,6,State House,14th Bristol,,Blank Votes,264
Taunton,8,A,U.S. House,4th,,Blank Votes,101
Manchester-by-the-Sea,-,1,U.S. House,6th,Democratic,John F. Tierney,2129
Worcester,6,3,Governor's Council,7th,,Blank Votes,240
Brockton,5,B,State Senate,2nd Plymouth and Bristol,,All Others,4
Cambridge,10,1,State House,25th Middlesex,,All Others,11
Peabody,3,2,State Senate,2nd Essex,Democratic,Frederick E. Berry,975
Boston,18,17,State Senate,Suffolk and Norfolk,,Total Votes Cast,983
Newton,6,4,U.S. Senate,,,Total Votes Cast,1723
Holyoke,5,A,State House,5th Hampden,,All Others,3
New Bedford,1,C,President,,,No Preference,0
Norwood,-,3,Governor's Council,2nd,,All Others,16
Arlington,-,18,U.S. House,7th,Democratic,Edward J. Markey,874
Easton,-,1,U.S. Senate,,,Blank Votes,40
Milford,-,3,State House,10th Worcester,,Total Votes Cast,1580
Lynn,2,3,President,,Libertarian,Barr and Root,1
Revere,3,3,U.S. Senate,,Libertarian,Robert J. Underwood,35
Boston,12,2,U.S. Senate,,,Total Votes Cast,1343
Grafton,-,3,U.S. House,2nd,,All Others,19
Boston,13,1,State House,5th Suffolk,,Blank Votes,216
N. Andover,-,3,Governor's Council,5th,Democratic,Mary-Ellen Manning,1376
Watertown,-,12,U.S. House,7th,,Blank Votes,106
Boston,5,1,U.S. House,8th,,All Others,62
Quincy,4,2,President,,,Total Votes Cast,1370
Boston,19,9,President,,,Total Votes Cast,627
Danvers,-,1,State House,13th Essex,Democratic,Theodore C. Speliotis,1204
Palmer,-,2,U.S. Senate,,,All Others,0
N. Andover,-,1,U.S. Senate,,,Total Votes Cast,1736
Fall River,2,A,State Senate,1st Bristol and Plymouth,,Total Votes Cast,930
Waltham,9,2,State Senate,3rd Middlesex,,Total Votes Cast,913
Boston,5,6,President,,,All Others,6
Wareham,-,5,State House,2nd Plymouth,,Total Votes Cast,1993
Springfield,1,G,State House,10th Hampden,,Total Votes Cast,675
Watertown,-,10,U.S. House,7th,,All Others,1
Arlington,-,12,U.S. House,7th,Republican,John Cunningham,252
Wakefield,-,6,State House,32nd Middlesex,,All Others,16
Templeton,-,A,President,,Unenrolled,Nader and Gonzalez,38
Ipswich,-,4,Governor's Council,5th,,All Others,0
Randolph,-,3,President,,,No Preference,0
Haverhill,1,2,President,,,No Preference,0
Acushnet,-,2,U.S. Senate,,Republican,Jeffrey K. Beatty,586
Springfield,4,E,State House,11th Hampden,,All Others,16
W. Springfield,-,4,State Senate,Hampden,,Total Votes Cast,1649
Worcester,9,4,U.S. House,3rd,,All Others,34
Medford,3,2,State Senate,2nd Middlesex,,Blank Votes,655
Boston,20,12,State Senate,Suffolk and Norfolk,,All Others,26
Mashpee,-,3,U.S. House,10th,,Total Votes Cast,1291
Newton,3,3,U.S. Senate,,,Total Votes Cast,1378
Sandwich,-,5,State Senate,Plymouth and Barnstable,,All Others,9
Stoughton,-,2,U.S. Senate,,,Blank Votes,57
Boston,19,5,State House,15th Suffolk,,All Others,6
Boston,18,16,President,,Republican,McCain and Palin,403
Agawam,-,8,President,,Constitution Party,Baldwin and Castle,3
Pittsfield,7,A,State House,3rd Berkshire,,Blank Votes,202
Eastham,-,1,U.S. Senate,,,Total Votes Cast,3843
Boston,14,4,State House,11th Suffolk,,All Others,13
Holyoke,1,B,U.S. Senate,,Democratic,John F. Kerry,544
Andover,-,5,State House,17th Essex,,Blank Votes,605
Boston,20,20,U.S. House,9th,,Blank Votes,288
Worcester,7,4,U.S. Senate,,,Blank Votes,68
Brockton,1,C,U.S. House,9th,,All Others,1
Marlborough,1,2,U.S. Senate,,,All Others,3
Groton,-,2,President,,Unenrolled,Nader and Gonzalez,23
Barnstable,-,8,U.S. Senate,,,All Others,0
Boston,20,10,President,,Republican,McCain and Palin,566
Brockton,6,A,President,,,All Others,6
Boston,20,15,President,,,Blank Votes,12
Swansea,-,3,State House,4th Bristol,,All Others,16
Medford,4,1,State House,34th Middlesex,,Total Votes Cast,932
Tewksbury,-,4,State House,19th Middlesex,,All Others,20
Springfield,3,C,Governor's Council,8th,Democratic,Thomas T. Merrigan,230
Lowell,1,3,U.S. Senate,,,Blank Votes,51
Washington,-,1,U.S. House,1st,,All Others,13
Somerville,3,2,State Senate,2nd Middlesex,,Total Votes Cast,1646
Eastham,-,1,U.S. House,10th,,All Others,41
Scituate,-,2,President,,,Total Votes Cast,2004
Acushnet,-,2,U.S. Senate,,Democratic,John F. Kerry,1222
Easthampton,-,4,U.S. House,1st,,Blank Votes,61
Ayer,-,2,State Senate,Middlesex and Worcester,,Blank Votes,117
Leominster,1,B,State House,4th Worcester,,All Others,0
Woburn,2,2,President,,,Blank Votes,9
New Bedford,3,A,State Senate,2nd Bristol and Plymouth,,Blank Votes,51
Revere,2,3A,President,,Libertarian,Barr and Root,1
TOTALS,,,State House,4th Essex,Democratic,Donald R. Bumiller,6390
Springfield,3,H,U.S. Senate,,,Total Votes Cast,596
E. Bridgewater,-,4,U.S. House,9th,,Blank Votes,433
Andover,-,7,State House,18th Essex,Republican,Lawrence Brennan,766
Winthrop,-,6,U.S. Senate,,,All Others,1
Lynn,5,1,Governor's Council,5th,,Total Votes Cast,993
E. Bridgewater,-,4,U.S. Senate,,Democratic,John F. Kerry,925
Beverly,2,1,President,,,All Others,0
Raynham,-,1,State House,8th Plymouth,,Blank Votes,625
Springfield,3,G,U.S. House,2nd,,All Others,1
Northampton,5,B,State House,1st Hampshire,,Blank Votes,186
Reading,-,1,U.S. Senate,,Libertarian,Robert J. Underwood,38
Cambridge,8,3,President,,Democratic,Obama and Biden,401
Longmeadow,-,A,Governor's Council,8th,,Total Votes Cast,1974
Sterling,-,1,President,,Green-Rainbow,McKinney and Clemente,5
E. Bridgewater,-,1,President,,,Blank Votes,8
Worcester,4,4,U.S. House,3rd,,All Others,21
Falmouth,-,5,State House,"Barnstable, Dukes and Nantucket",Unenrolled,Timothy R. Madden,474
Boston,20,8,State Senate,Suffolk and Norfolk,,Blank Votes,206
Revere,6,1,U.S. House,7th,Republican,John Cunningham,257
Leyden,-,1,State Senate,Hampshire and Franklin,,Blank Votes,16
Salem,2,1,President,,Constitution Party,Baldwin and Castle,4
Winchendon,-,2,State House,2nd Worcester,Unenrolled,Carolyn A. Kamuda,391
Brockton,7,B,State House,11th Plymouth,Democratic,Geraldine Creedon,967
Waltham,3,2,President,,Unenrolled,Nader and Gonzalez,16
Worcester,5,3,President,,Unenrolled,Nader and Gonzalez,19
Taunton,4,B,U.S. House,4th,Democratic,Barney Frank,1011
Malden,2,2,State Senate,Middlesex and Essex,,Total Votes Cast,1358
Boston,20,20,State Senate,Suffolk and Norfolk,,Total Votes Cast,1226
Woburn,7,2,President,,,All Others,6
Acton,-,2,U.S. Senate,,Republican,Jeffrey K. Beatty,563
Leicester,-,3,U.S. Senate,,,Blank Votes,36
Florida,-,1,State House,1st Berkshire,,All Others,0
Chester,-,1,President,,Libertarian,Barr and Root,5
Boston,4,2,U.S. Senate,,,Total Votes Cast,1812
Marshfield,-,3,President,,Constitution Party,Baldwin and Castle,1
Boxford,-,1,President,,Unenrolled,Nader and Gonzalez,10
Upton,-,1,President,,,No Preference,0
Dracut,-,1,State House,36th Middlesex,Democratic,Colleen M. Garry,1293
Northbridge,-,1,U.S. Senate,,Republican,Jeffrey K. Beatty,803
Gardner,1,C,President,,Libertarian,Barr and Root,1
Fall River,8,B,President,,,Blank Votes,19
Boston,19,9,State Senate,2nd Suffolk,(Write-In),Dianne Wilkerson,6
Lawrence,B,4,U.S. Senate,,,All Others,1
Taunton,7,A,U.S. House,4th,Unenrolled,Susan Allen,132
Brockton,4,A,State House,9th Plymouth,,All Others,0
Worcester,5,3,U.S. House,3rd,,Blank Votes,393
Wilmington,-,1,U.S. House,6th,,Total Votes Cast,1925
Springfield,1,B,U.S. House,2nd,Democratic,Richard E. Neal,472
Scituate,-,5,State House,4th Plymouth,,Blank Votes,152
Lawrence,A,3,State Senate,2nd Essex and Middlesex,Democratic,Susan C. Tucker,629
N. Adams,2,2,Governor's Council,8th,Republican,Michael Franco,183
Amherst,-,1,State House,3rd Hampshire,,Total Votes Cast,930
Boston,20,12,Governor's Council,2nd,,All Others,21
Weymouth,-,7,State House,4th Norfolk,,Total Votes Cast,1735
Boston,3,8,President,,Libertarian,Barr and Root,14
Northampton,3,B,State Senate,Hampshire and Franklin,,All Others,1
Montague,-,4,President,,,Blank Votes,5
Plymouth,-,5,President,,Libertarian,Barr and Root,11
Springfield,8,H,Governor's Council,8th,,Blank Votes,145
Saugus,-,8,Governor's Council,5th,,Total Votes Cast,1360
Fall River,3,A,State House,7th Bristol,Republican,C.J. Ferry,215
Ashland,-,1,State House,7th Middlesex,Democratic,Tom Sannicandro,1618
Amherst,-,4,Governor's Council,8th,Democratic,Thomas T. Merrigan,822
Holden,-,3,U.S. Senate,,,Blank Votes,61
New Bedford,5,B,President,,,All Others,7
Dracut,-,2,Governor's Council,5th,Democratic,Mary-Ellen Manning,1009
Walpole,-,3,U.S. House,9th,,All Others,23
Framingham,-,5,Governor's Council,2nd,Democratic,Kelly A. Timilty,1384
Beverly,1,2,U.S. Senate,,,Total Votes Cast,1884
Foxborough,-,3,President,,,Total Votes Cast,1928
Framingham,-,12,State Senate,2nd Middlesex and Norfolk,,Blank Votes,262
Andover,-,5,State House,17th Essex,,All Others,15
Washington,-,1,President,,Constitution Party,Baldwin and Castle,0
Princeton,-,1,President,,,No Preference,0
Northampton,4,A,Governor's Council,8th,,Blank Votes,114
Somerville,4,1,State Senate,2nd Middlesex,,All Others,21
Bedford,-,2,State Senate,3rd Middlesex,,Blank Votes,120
Dover,-,1,President,,,No Preference,0
Rowe,-,1,U.S. House,1st,,All Others,0
Gloucester,1,2,State House,5th Essex,,Blank Votes,323
Springfield,5,D,President,,Green-Rainbow,McKinney and Clemente,2
Brookline,-,15,U.S. House,4th,,Total Votes Cast,2033
Peabody,4,3A,President,,Democratic,Obama and Biden,866
Peabody,2,3,U.S. Senate,,,Total Votes Cast,1228
Worcester,7,3,State House,17th Worcester,Democratic,"John J. Binienda, Sr.",1108
Bedford,-,3,U.S. House,6th,,Blank Votes,106
Sterling,-,1,President,,Democratic,Obama and Biden,1024
Boston,7,5,State Senate,1st Suffolk,,Blank Votes,110
Boston,20,14,U.S. Senate,,,Total Votes Cast,778
Belmont,-,4,President,,Unenrolled,Nader and Gonzalez,19
Braintree,-,4,President,,Constitution Party,Baldwin and Castle,1
Quincy,4,5,President,,,All Others,8
Hamilton,-,2,U.S. Senate,,,All Others,0
Boston,14,9,Governor's Council,4th,,All Others,9
Lynn,7,3,U.S. Senate,,Democratic,John F. Kerry,801
Salem,3,1,President,,Unenrolled,Nader and Gonzalez,19
Cummington,-,1,State Senate,"Berkshire, Hampshire and Franklin",,Blank Votes,110
Chatham,-,1,Governor's Council,1st,,All Others,12
Danvers,-,7,President,,Republican,McCain and Palin,731
Cambridge,10,3,U.S. Senate,,Democratic,John F. Kerry,1130
Greenfield,-,3,President,,Libertarian,Barr and Root,7
Boston,5,4,U.S. Senate,,,Blank Votes,59
TOTALS,,,President,,,No Preference,0
Westwood,-,1,U.S. House,9th,,All Others,23
Lawrence,B,2,U.S. Senate,,Libertarian,Robert J. Underwood,10
Everett,4,1,U.S. House,7th,Republican,John Cunningham,157
Scituate,-,4,State Senate,Plymouth and Norfolk,Republican,"Robert L. Hedlund, Jr.",1471
Chicopee,9,B,State Senate,2nd Hampden and Hampshire,Republican,Michael R. Knapik,1239
Springfield,2,C,U.S. Senate,,,Blank Votes,49
Boston,22,12,State Senate,2nd Suffolk and Middlesex,,All Others,11
Weymouth,-,5,U.S. Senate,,Republican,Jeffrey K. Beatty,410
Attleboro,6,A,President,,Unenrolled,Nader and Gonzalez,23
Warwick,-,1,President,,Constitution Party,Baldwin and Castle,3
Barnstable,-,12,U.S. House,10th,,All Others,0
Yarmouth,-,7,State Senate,Cape and Islands,,Total Votes Cast,2571
Randolph,-,4,U.S. Senate,,,Total Votes Cast,1831
Merrimac,-,1,U.S. Senate,,,Total Votes Cast,3581
Princeton,-,1,U.S. House,3rd,,All Others,53
Holden,-,3,State House,1st Worcester,,All Others,10
Brockton,4,A,U.S. House,9th,Democratic,Stephen F. Lynch,598
Boston,11,6,U.S. Senate,,Libertarian,Robert J. Underwood,21
Montgomery,-,1,President,,Republican,McCain and Palin,257
Ayer,-,2,President,,,Blank Votes,12
Andover,-,5,U.S. House,5th,Democratic,Nicola S. Tsongas,1469
Quincy,6,4,President,,Democratic,Obama and Biden,712
Leicester,-,1,President,,,No Preference,0
Everett,3,1,U.S. House,7th,,All Others,0
Melrose,2,2,State House,32nd Middlesex,Democratic,Katherine M. Clark,772
Medford,8,2,U.S. Senate,,Libertarian,Robert J. Underwood,57
Newton,4,2,U.S. Senate,,Democratic,John F. Kerry,1096
Southwick,-,1,U.S. House,1st,,All Others,0
Blackstone,-,2,State Senate,Worcester and Norfolk,,All Others,4
Revere,5,3,State House,19th Suffolk,,Blank Votes,242
Essex,-,1,Governor's Council,5th,,Total Votes Cast,2209
Scituate,-,2,Governor's Council,4th,,Blank Votes,711
Peabody,4,3A,State Senate,2nd Essex,Democratic,Frederick E. Berry,1003
Framingham,-,12,U.S. Senate,,,Total Votes Cast,1013
Attleboro,1,B,President,,,Total Votes Cast,1623
Plymouth,-,5,U.S. Senate,,Libertarian,Robert J. Underwood,55
Dracut,-,4,U.S. Senate,,,Total Votes Cast,1855
Boston,5,7,U.S. Senate,,,All Others,3
Fall River,3,A,President,,,All Others,2
Chicopee,1,A,President,,Constitution Party,Baldwin and Castle,2
Gloucester,5,1,President,,,Total Votes Cast,1740
Bourne,-,4,U.S. Senate,,,Total Votes Cast,1924
Boston,1,13,President,,Constitution Party,Baldwin and Castle,0
New Bedford,4,C,President,,Democratic,Obama and Biden,773
Springfield,7,B,State House,12th Hampden,,Blank Votes,284
Newton,2,1,State House,11th Middlesex,Democratic,Kay S. Khan,1208
Boston,7,6,President,,Constitution Party,Baldwin and Castle,2
Worcester,7,3,Governor's Council,7th,,Blank Votes,361
Northborough,-,1,President,,Green-Rainbow,McKinney and Clemente,5
Ludlow,-,1,U.S. House,2nd,,All Others,18
Woburn,6,2,U.S. House,7th,,Total Votes Cast,1341
Concord,-,5,President,,Libertarian,Barr and Root,17
Arlington,-,21,State Senate,4th Middlesex,,Blank Votes,82
Great Barrington,-,B,State House,4th Berkshire,,Total Votes Cast,991
Newton,8,1,President,,Green-Rainbow,McKinney and Clemente,6
Edgartown,-,1,State House,"Barnstable, Dukes and Nantucket",Unenrolled,Timothy R. Madden,654
Gill,-,1,Governor's Council,8th,,All Others,0
Oakham,-,1,State Senate,"Worcester, Hampden, Hampshire and Franklin",,Blank Votes,209
Stoughton,-,6,President,,,Total Votes Cast,1903
Amherst,-,6,U.S. House,1st,Republican,Nathan A. Bech,145
N. Attleborough,-,1,State Senate,"Norfolk, Bristol and Middlesex",Republican,Scott P. Brown,581
Boston,19,6,U.S. House,8th,Democratic,Michael E. Capuano,1077
Seekonk,-,2,Governor's Council,2nd,,All Others,24
Springfield,7,B,U.S. Senate,,,Total Votes Cast,1332
Dracut,-,4,President,,Unenrolled,Nader and Gonzalez,14
Lowell,6,3,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,961
Norton,-,3,U.S. Senate,,Democratic,John F. Kerry,1013
Framingham,-,3,State Senate,2nd Middlesex and Norfolk,,Total Votes Cast,1838
Worcester,2,5,President,,,Blank Votes,6
Sharon,-,3,State Senate,"Norfolk, Bristol and Plymouth",,Total Votes Cast,2068
Cambridge,10,1,U.S. Senate,,Republican,Jeffrey K. Beatty,170
Great Barrington,-,D,State House,4th Berkshire,Democratic,"William ""Smitty"" Pignatelli",815
Stoughton,-,7,U.S. House,9th,,Total Votes Cast,1688
Lynn,7,1,State House,11th Essex,Democratic,Steven M. Walsh,1162
Norwood,-,5,State House,12th Norfolk,,Total Votes Cast,975
Saugus,-,2,Governor's Council,6th,Democratic,Michael J. Callahan,794
Lowell,6,3,State House,16th Middlesex,,All Others,6
Greenfield,-,6,Governor's Council,8th,,All Others,1
Boston,10,4,President,,Democratic,Obama and Biden,857
Worcester,5,1,State House,16th Worcester,,Total Votes Cast,1002
Hanover,-,4,President,,,Blank Votes,4
Boston,22,7,State House,18th Suffolk,Democratic,Michael J. Moran,719
Peabody,2,2,U.S. Senate,,Democratic,John F. Kerry,663
Canton,-,1,President,,Libertarian,Barr and Root,6
Melrose,3,2,U.S. Senate,,,Blank Votes,32
Taunton,6,B,State Senate,1st Plymouth and Bristol,,Total Votes Cast,1376
New Bedford,6,G,State Senate,2nd Bristol and Plymouth,,All Others,3
Dunstable,-,1,President,,Democratic,Obama and Biden,916
Westport,-,A,President,,Green-Rainbow,McKinney and Clemente,2
Reading,-,2,State House,30th Middlesex,,All Others,10
Worcester,7,2,Governor's Council,7th,,All Others,16
Northampton,7,B,State House,1st Hampshire,,All Others,8
Norwood,-,7,President,,Green-Rainbow,McKinney and Clemente,3
Lowell,6,2,State House,16th Middlesex,,Total Votes Cast,1437
Lakeville,-,2,State Senate,1st Bristol and Plymouth,,Blank Votes,649
