town,ward,precinct,office,district,party,candidate,votes
Hudson,,,Governor's Council,3rd,Democratic,Total Votes Cast,356
Swampscott,,,U.S. House,6th,Democratic,All Others,6
Raynham,,,State House,8th Plymouth,Democratic,Total Votes Cast,222
Sandwich,,,State Senate,Plymouth and Barnstable,Republican,Total Votes Cast,547
Avon,,,U.S. House,10th,Democratic,Total Votes Cast,240
New Marlborough,,,Governor's Council,8th,Republican,All Others,0
Easthampton,,,U.S. Senate,,Republican,Total Votes Cast,32
Berlin,,,Governor's Council,3rd,Democratic,Total Votes Cast,64
Ipswich,,,State House,4th Essex,Libertarian,Blank Votes,0
Revere,,,U.S. Senate,,Republican,"Jack E. Robinson, III",166
Monroe,,,Governor's Council,8th,Democratic,Edward M. O'Brien,4
Newbury,,,U.S. House,6th,Republican,Frederick T. Golder,22
Barre,,,U.S. House,1st,Democratic,John W. Olver,142
Leyden,,,Governor's Council,8th,Democratic,Total Votes Cast,6
W. Bridgewater,,,U.S. House,4th,Republican,Blank Votes,2
Easton,,,State House,11th Plymouth,Democratic,All Others,3
Braintree,,,State Senate,Plymouth and Norfolk,Democratic,Total Votes Cast,675
Dennis,,,State Senate,Cape and Islands,Democratic,Total Votes Cast,457
Sharon,,,State Senate,"Norfolk, Bristol and Plymouth",Republican,Total Votes Cast,57
Walpole,,,State House,12th Norfolk,Democratic,John H. Rogers,93
Hull,,,State House,3rd Plymouth,Republican,All Others,0
TOTALS,,,State House,8th Suffolk,Republican,M. Hannah Meehan,65
Blackstone,,,U.S. House,2nd,Democratic,Total Votes Cast,218
Richmond,,,U.S. Senate,,Democratic,Blank Votes,0
Pembroke,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Springfield,,,State House,11th Hampden,Democratic,Blank Votes,217
TOTALS,,,State House,6th Suffolk,Democratic,Blank Votes,128
Chicopee,,,State House,9th Hampden,Democratic,Jack Righty Keough,424
Orange,,,U.S. Senate,,Democratic,Blank Votes,4
Lincoln,,,State Senate,5th Middlesex,Republican,All Others,0
Ludlow,,,State Senate,1st Hampden and Hampshire,Republican,Brian P. Lees,102
Newbury,,,State House,2nd Essex,Democratic,All Others,1
Somerset,,,State House,5th Bristol,Democratic,patrick B. O'Neil,1926
Wilmington,,,U.S. House,6th,Democratic,John F. Tierney,966
Dedham,,,Governor's Council,2nd,Democratic,Blank Votes,125
Gloucester,,,U.S. Senate,,Libertarian,Total Votes Cast,7
Ayer,,,U.S. Senate,,Democratic,Edward M. Kennedy,215
Georgetown,,,U.S. Senate,,Libertarian,All Others,0
Harvard,,,State Senate,Middlesex and Worcester,Libertarian,Blank Votes,0
Essex,,,U.S. House,6th,Republican,Total Votes Cast,56
Dedham,,,U.S. House,9th,Democratic,Blank Votes,212
Hopkinton,,,U.S. Senate,,Republican,"Jack E. Robinson, III",149
Topsfield,,,State House,13th Essex,Democratic,Total Votes Cast,114
Monterey,,,Governor's Council,8th,Democratic,Blank Votes,4
Marblehead,,,U.S. Senate,,Democratic,Blank Votes,76
Topsfield,,,Governor's Council,5th,Democratic,Total Votes Cast,114
TOTALS,,,State House,3rd Barnstable,Republican,David T. Vieira,1114
Reading,,,U.S. House,6th,Republican,Frederick T. Golder,16
Hopkinton,,,Governor's Council,2nd,Democratic,Blank Votes,164
Randolph,,,U.S. Senate,,Republican,"Jack E. Robinson, III",119
TOTALS,,,State House,4th Worcester,Democratic,Blank Votes,219
Whately,,,U.S. House,1st,Republican,All Others,0
Arlington,,,U.S. House,7th,Democratic,Edward J. Markey,4064
Belchertown,,,State House,7th Hampden,Republican,Blank Votes,5
Lincoln,,,U.S. House,5th,Democratic,Total Votes Cast,7
Goshen,,,Governor's Council,8th,Republican,All Others,0
Lunenburg,,,U.S. Senate,,Libertarian,All Others,0
Leyden,,,U.S. Senate,,Democratic,Total Votes Cast,6
Deerfield,,,U.S. Senate,,Republican,Total Votes Cast,19
Mount Washington,,,U.S. House,1st,Republican,Peter J. Abair,2
Marion,,,U.S. House,4th,Republican,Blank Votes,52
Halifax,,,U.S. Senate,,Republican,"Jack E. Robinson, III",122
Ashburnham,,,State House,2nd Worcester,,All Others,0
Quincy,,,State Senate,Norfolk and Plymouth,Democratic,Michael W. Morrissey,5279
Egremont,,,State House,4th Berkshire,Democratic,Total Votes Cast,23
TOTALS,,,State House,2nd Worcester,Democratic,All Others,3
TOTALS,,,State House,4th Barnstable,Republican,Blank Votes,68
Arlington,,,U.S. Senate,,Democratic,Blank Votes,782
Spencer,,,U.S. Senate,,Democratic,Blank Votes,51
Foxborough,,,U.S. House,3rd,Democratic,James P. McGovern,272
Fairhaven,,,U.S. House,4th,Democratic,Blank Votes,112
Bellingham,,,Governor's Council,7th,Democratic,Blank Votes,83
Attleboro,,,State House,2nd Bristol,,Total Votes Cast,311
Lenox,,,Governor's Council,8th,Democratic,Total Votes Cast,57
Monroe,,,U.S. House,1st,Republican,Peter J. Abair,7
Longmeadow,,,U.S. Senate,,Republican,"Jack E. Robinson, III",102
Walpole,,,U.S. Senate,,Libertarian,Carla A. Howell,1
Great Barrington,,,U.S. House,1st,Republican,Total Votes Cast,48
Savoy,,,Governor's Council,8th,Republican,Marshall T. Moriarty,6
Amesbury,,,U.S. Senate,,Republican,"Jack E. Robinson, III",116
W. Springfield,,,U.S. House,1st,Democratic,All Others,0
Dennis,,,U.S. House,10th,Republican,Blank Votes,96
Barnstable,,,U.S. Senate,,Libertarian,Blank Votes,0
Townsend,,,U.S. Senate,,Democratic,All Others,0
Braintree,,,State Senate,Plymouth and Norfolk,Republican,"Robert L. Hedlund, Jr.",73
Leyden,,,Governor's Council,8th,Republican,Total Votes Cast,4
Ludlow,,,Governor's Council,8th,Republican,All Others,0
Montgomery,,,U.S. Senate,,Democratic,All Others,0
Lancaster,,,State House,3rd Middlesex,Democratic,Blank Votes,37
Belchertown,,,U.S. Senate,,Republican,All Others,2
Colrain,,,Governor's Council,8th,Republican,All Others,0
Bellingham,,,State House,10th Worcester,,Blank Votes,8
Petersham,,,U.S. House,1st,Republican,Blank Votes,6
Bellingham,,,State Senate,Worcester and Norfolk,Democratic,Richard T. Moore,247
Lowell,,,U.S. Senate,,Libertarian,Carla A. Howell,11
Wales,,,U.S. Senate,,Libertarian,Carla A. Howell,2
Leyden,,,U.S. Senate,,Republican,All Others,0
TOTALS,,,State House,2nd Essex,Republican,William C. Early,710
Blackstone,,,U.S. House,2nd,Democratic,Blank Votes,18
Somerville,,,State House,37th Middlesex,Democratic,Total Votes Cast,1120
Warwick,,,Governor's Council,7th,Democratic,Dennis P. McManus,14
Leominster,,,U.S. Senate,,Democratic,Total Votes Cast,1111
Hanson,,,State House,6th Plymouth,Republican,All Others,0
TOTALS,,,State House,13th Bristol,Democratic,Total Votes Cast,2363
TOTALS,,,State Senate,1st Worcester,Republican,Christopher P. LoConto,1571
Rochester,,,State Senate,1st Plymouth and Bristol,Democratic,Marc R. Pacheco,98
Heath,,,U.S. House,1st,Democratic,Blank Votes,2
Randolph,,,State House,6th Norfolk,Libertarian,Richard A. Yampell,3
Acton,,,Governor's Council,3rd,Democratic,Ruth E. Nemzoff,187
Marblehead,,,U.S. House,6th,Democratic,All Others,2
Wareham,,,U.S. Senate,,Libertarian,Carla A. Howell,9
Holyoke,,,U.S. Senate,,Republican,"Jack E. Robinson, III",261
Sutton,,,Governor's Council,7th,Democratic,All Others,0
Sheffield,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,"Andrea F. Nuciforo, Jr.",27
Heath,,,State House,2nd Franklin,Democratic,Total Votes Cast,20
Salem,,,U.S. House,6th,Republican,Paul McCarthy,191
Dartmouth,,,U.S. House,3rd,Democratic,James P. McGovern,706
Boston,,,State House,17th Suffolk,Democratic,Kevin G. Honan,510
Otis,,,State House,4th Berkshire,Democratic,Christopher J. Hodgkins,15
Wendell,,,U.S. Senate,,Libertarian,All Others,0
Dedham,,,U.S. House,9th,Democratic,Total Votes Cast,1152
Newton,,,U.S. Senate,,Republican,Total Votes Cast,412
Holland,,,Governor's Council,7th,Democratic,Total Votes Cast,32
Boston,,,State Senate,Middlesex and Suffolk,Democratic,Total Votes Cast,1200
Millbury,,,State House,7th Worcester,Democratic,Susan J. Weagle,441
Marlborough,,,U.S. Senate,,Democratic,Blank Votes,124
Salem,,,Governor's Council,5th,Democratic,Patricia A. Dowling,372
Newton,,,U.S. Senate,,Republican,Blank Votes,125
Granville,,,U.S. House,1st,Republican,Peter J. Abair,18
Boston,,,State House,8th Suffolk,Republican,Blank Votes,12
Oakham,,,U.S. Senate,,Republican,Blank Votes,8
Northfield,,,U.S. Senate,,Republican,Total Votes Cast,21
Buckland,,,State House,2nd Berkshire,Republican,Blank Votes,0
Fairhaven,,,State Senate,2nd Bristol,Democratic,Blank Votes,143
Gloucester,,,Governor's Council,5th,Democratic,Blank Votes,0
Wenham,,,State Senate,1st Essex and Middlesex,Republican,Blank Votes,5
Taunton,,,State House,4th Bristol,Democratic,Philip Travis,84
Aquinnah,,,Governor's Council,1st,Democratic,Blank Votes,11
W. Newbury,,,State House,2nd Essex,Democratic,All Others,1
Sherborn,,,U.S. House,4th,Libertarian,Total Votes Cast,6
Lexington,,,U.S. Senate,,Libertarian,All Others,0
Granville,,,U.S. House,1st,Republican,Blank Votes,1
N. Attleborough,,,U.S. Senate,,Democratic,Edward M. Kennedy,230
Newton,,,U.S. House,4th,Libertarian,Blank Votes,0
Duxbury,,,U.S. House,10th,Democratic,William D. Delahunt,557
Erving,,,U.S. House,1st,Republican,All Others,0
Plymouth,,,U.S. House,10th,Republican,Eric V. Bleicken,1038
Hanover,,,U.S. Senate,,Republican,Blank Votes,52
Pembroke,,,State House,6th Plymouth,Republican,All Others,0
Dighton,,,U.S. House,4th,Democratic,Barney Frank,212
Westminster,,,U.S. House,1st,Republican,Total Votes Cast,57
TOTALS,,,State House,14th Suffolk,Democratic,Angelo M. Scaccia,1113
Goshen,,,U.S. House,1st,Democratic,John W. Olver,34
Ashby,,,U.S. Senate,,Libertarian,Blank Votes,0
Bellingham,,,State Senate,Worcester and Norfolk,,All Others,1
Groton,,,Governor's Council,3rd,Democratic,Blank Votes,104
Princeton,,,U.S. Senate,,Republican,Blank Votes,13
Greenfield,,,Governor's Council,8th,Republican,Marshall T. Moriarty,85
Heath,,,Governor's Council,8th,Republican,Blank Votes,2
Brewster,,,Governor's Council,1st,Democratic,Carole A. Fiola,103
Lakeville,,,State Senate,1st Plymouth and Bristol,Democratic,Total Votes Cast,206
Shirley,,,State House,3rd Middlesex,Republican,Total Votes Cast,90
Falmouth,,,State House,"Barnstable, Dukes and Nantucket",Republican,Total Votes Cast,492
N. Adams,,,U.S. Senate,,Republican,Blank Votes,7
Stoneham,,,State House,34th Middlesex,Democratic,Blank Votes,71
Truro,,,U.S. Senate,,Republican,All Others,2
Weston,,,U.S. House,7th,Democratic,Total Votes Cast,162
Southborough,,,Governor's Council,3rd,Democratic,Manlyn Petitto M. Devaney,256
TOTALS,,,U.S. House,8th,Democratic,Blank Votes,6135
Stockbridge,,,U.S. House,1st,Democratic,All Others,0
Groton,,,U.S. Senate,,Democratic,Total Votes Cast,307
Richmond,,,U.S. House,1st,Republican,Peter J. Abair,21
Sturbridge,,,U.S. Senate,,Republican,All Others,0
Phillipston,,,U.S. House,1st,Democratic,Total Votes Cast,28
Springfield,,,State House,11th Hampden,Democratic,Paul E. Caron,1141
Richmond,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,16
Princeton,,,U.S. House,3rd,Democratic,All Others,0
New Bedford,,,State House,12th Bristol,,All Others,6
Clarksburg,,,State House,1st Berkshire,Democratic,Daniel E. Bosley,20
TOTALS,,,State House,3rd Barnstable,Democratic,Matthew C. Patrick,1527
Hull,,,State House,3rd Plymouth,Democratic,Blank Votes,49
Dover,,,U.S. Senate,,Democratic,Blank Votes,10
Lynnfield,,,State House,22nd Middlesex,,Total Votes Cast,379
Lawrence,,,U.S. Senate,,Republican,Total Votes Cast,756
TOTALS,,,State House,3rd Hampden,Democratic,Daniel F. Keenan,352
Becket,,,Governor's Council,8th,Republican,Blank Votes,7
Auburn,,,U.S. Senate,,Democratic,Edward M. Kennedy,834
Blackstone,,,Governor's Council,7th,Democratic,Dennis P. McManus,166
Brockton,,,State House,9th Plymouth,,All Others,9
W. Bridgewater,,,U.S. House,4th,Democratic,Barney Frank,155
Pelham,,,U.S. Senate,,Republican,Total Votes Cast,12
TOTALS,,,State House,3rd Hampden,Democratic,All Others,1
Carver,,,U.S. House,4th,Republican,Martin D. Travis,229
Lincoln,,,State Senate,5th Middlesex,Democratic,Susan C. Fargo,182
Sheffield,,,U.S. Senate,,Democratic,All Others,0
Freetown,,,State House,6th Bristol,Democratic,Blank Votes,34
Windsor,,,State House,2nd Berkshire,Democratic,Blank Votes,8
TOTALS,,,State House,39th Middlesex,Democratic,Colleen M. Garry,1500
Sterling,,,U.S. House,3rd,Democratic,Total Votes Cast,198
Wellfleet,,,U.S. House,10th,Republican,Blank Votes,8
Lynn,,,U.S. House,6th,Democratic,Total Votes Cast,3679
Rutland,,,State House,1st Worcester,Republican,All Others,2
W. Brookfield,,,U.S. House,1st,Democratic,Total Votes Cast,93
Needham,,,Governor's Council,2nd,Democratic,All Others,4
Rehoboth,,,U.S. House,4th,Republican,Martin D. Travis,55
Adams,,,Governor's Council,8th,Republican,Blank Votes,6
Hinsdale,,,U.S. House,1st,Democratic,All Others,0
W. Tisbury,,,U.S. House,10th,Republican,All Others,0
Needham,,,U.S. House,9th,Democratic,Total Votes Cast,1028
TOTALS,,,State House,7th Middlesex,Libertarian,Blank Votes,5
Millville,,,U.S. House,2nd,Democratic,Blank Votes,6
TOTALS,,,State House,33rd Middlesex,Democratic,All Others,0
Newton,,,State House,10th Middlesex,,Blank Votes,152
Pelham,,,U.S. House,1st,Democratic,John W. Olver,25
Plainville,,,U.S. House,3rd,Democratic,Total Votes Cast,100
Westborough,,,U.S. Senate,,Libertarian,Total Votes Cast,5
Southborough,,,State Senate,Middlesex and Worcester,Libertarian,Kamal Jain,3
TOTALS,,,State House,16th Worcester,Democratic,John P. Fresolo,1929
Agawam,,,U.S. Senate,,Republican,All Others,0
TOTALS,,,State House,9th Hampden,Democratic,Blank Votes,87
E. Longmeadow,,,State House,13th Hampden,Democratic,Gale D. Candaras,88
TOTALS,,,State House,3rd Middlesex,Democratic,All Others,0
Chelsea,,,U.S. House,8th,Democratic,Michael E. Capuano,683
Peabody,,,U.S. House,6th,Republican,All Others,2
Sherborn,,,State Senate,"Norfolk, Bristol and Middlesex",Republican,Daryl E. Hanlin,23
Marshfield,,,U.S. House,10th,Democratic,All Others,0
Foxborough,,,U.S. Senate,,Democratic,Total Votes Cast,616
Deerfield,,,State Senate,Hampshire and Franklin,Democratic,Total Votes Cast,46
Melrose,,,State House,35th Middlesex,Democratic,Blank Votes,141
Holden,,,State Senate,1st Worcester,Republican,Total Votes Cast,483
Hinsdale,,,U.S. Senate,,Democratic,Total Votes Cast,17
Everett,,,State Senate,"Middlesex, Suffolk and Essex",Democratic,Thomas F. Birmingham,1068
W. Tisbury,,,State Senate,Cape and Islands,Republican,Henri S Rauschenbach,24
Merrimac,,,U.S. House,6th,Democratic,Total Votes Cast,167
Gloucester,,,U.S. House,6th,Republican,Paul McCarthy,153
Plympton,,,U.S. House,4th,Democratic,Blank Votes,16
TOTALS,,,State House,15th Essex,Democratic,All Others,4
Bedford,,,U.S. Senate,,Libertarian,Blank Votes,0
Lenox,,,U.S. House,1st,Democratic,John W. Olver,49
Kingston,,,State Senate,Plymouth and Barnstable,Republican,James R. Norton,114
Bedford,,,U.S. House,6th,Republican,All Others,0
Barre,,,State House,5th Worcester,Republican,David H. Tuttle,41
Athol,,,U.S. House,1st,Democratic,Total Votes Cast,115
Malden,,,U.S. Senate,,Libertarian,Total Votes Cast,8
Ludlow,,,State House,7th Hampden,Democratic,Blank Votes,128
Northborough,,,State Senate,Middlesex and Worcester,Democratic,Blank Votes,52
New Marlborough,,,Governor's Council,8th,Democratic,Edward M. O'Brien,7
Palmer,,,State House,1st Hampden,Republican,Reed V. Hillman,69
E. Longmeadow,,,U.S. Senate,,Democratic,Blank Votes,30
Merrimac,,,U.S. Senate,,Republican,All Others,3
Pepperell,,,U.S. Senate,,Democratic,All Others,13
Buckland,,,State House,2nd Berkshire,Democratic,Total Votes Cast,21
Russell,,,Governor's Council,8th,Republican,Total Votes Cast,8
W. Tisbury,,,State House,"Barnstable, Dukes and Nantucket",Democratic,Total Votes Cast,96
Arlington,,,State Senate,4th Middlesex,Democratic,Blank Votes,1255
Washington,,,State House,2nd Berkshire,Democratic,All Others,0
TOTALS,,,U.S. House,4th,Libertarian,David J. Euchner,124
N. Reading,,,U.S. Senate,,Republican,"Jack E. Robinson, III",178
Holden,,,State Senate,1st Worcester,Democratic,Harriette L. Chandler,1187
Wenham,,,State House,4th Essex,Republican,Total Votes Cast,92
Pittsfield,,,U.S. Senate,,Democratic,Edward M. Kennedy,489
Harwich,,,U.S. House,10th,Democratic,Total Votes Cast,202
Gloucester,,,U.S. Senate,,Republican,Total Votes Cast,256
Longmeadow,,,U.S. Senate,,Libertarian,Blank Votes,0
Plymouth,,,State Senate,Plymouth and Barnstable,Democratic,All Others,28
TOTALS,,,State House,14th Norfolk,Republican,All Others,2
Hardwick,,,Governor's Council,7th,Democratic,All Others,0
Acushnet,,,State Senate,2nd Bristol,,Total Votes Cast,629
Huntington,,,U.S. House,1st,Republican,All Others,0
Buckland,,,U.S. Senate,,Republican,"Jack E. Robinson, III",10
Hingham,,,U.S. Senate,,Libertarian,All Others,1
Freetown,,,U.S. Senate,,Libertarian,Total Votes Cast,1
Westford,,,Governor's Council,3rd,Democratic,All Others,4
Sunderland,,,U.S. House,1st,Republican,Blank Votes,1
Eastham,,,Governor's Council,1st,Democratic,All Others,0
TOTALS,,,State House,14th Essex,Democratic,Blank Votes,598
Haverhill,,,State House,3rd Essex,Democratic,Blank Votes,52
Gloucester,,,U.S. Senate,,Democratic,Blank Votes,0
Worcester,,,State House,16th Worcester,Democratic,Total Votes Cast,2639
TOTALS,,,State House,16th Middlesex,Libertarian,Blank Votes,6
Sherborn,,,State House,5th Middlesex,Democratic,Blank Votes,12
TOTALS,,,State House,7th Essex,Democratic,Total Votes Cast,1707
Yarmouth,,,State Senate,Cape and Islands,Republican,Henri S Rauschenbach,393
Tyngsborough,,,U.S. House,5th,Democratic,Joseph F. Osbadeston,20
Westford,,,U.S. Senate,,Republican,All Others,9
Upton,,,State Senate,2nd Worcester,Democratic,Guy William Glodis,80
Wrentham,,,U.S. House,3rd,Democratic,Total Votes Cast,225
TOTALS,,,State House,"Barnstable, Dukes and Nantucket",Republican,Donald P. McKeag,854
Falmouth,,,State Senate,Cape and Islands,Democratic,Edward D. Lamperti,449
TOTALS,,,State House,7th Hampden,Republican,Blank Votes,60
Carver,,,U.S. Senate,,Libertarian,Blank Votes,1
TOTALS,,,State House,1st Hampshire,Democratic,Total Votes Cast,753
Gill,,,U.S. Senate,,Libertarian,Blank Votes,0
Millbury,,,Governor's Council,7th,Democratic,Dennis P. McManus,405
TOTALS,,,State House,11th Middlesex,Democratic,Blank Votes,326
Ipswich,,,U.S. Senate,,Democratic,Total Votes Cast,239
Montgomery,,,State House,4th Hampden,Republican,Total Votes Cast,23
Dedham,,,Governor's Council,2nd,Democratic,Terence J. O'Malley,370
Oxford,,,U.S. House,2nd,Democratic,Richard E. Neal,479
Walpole,,,U.S. Senate,,Democratic,Total Votes Cast,841
Pepperell,,,Governor's Council,3rd,Democratic,Manlyn Petitto M. Devaney,178
Rutland,,,State House,1st Worcester,Democratic,All Others,1
Ashland,,,State House,7th Middlesex,Libertarian,Blank Votes,0
Lunenburg,,,U.S. House,5th,Democratic,Martin T. Mechan,5
Fall River,,,U.S. Senate,,Libertarian,Total Votes Cast,22
Westhampton,,,State Senate,Hampshire and Franklin,Democratic,All Others,0
TOTALS,,,State House,3rd Norfolk,Democratic,Ronald Mariano,2385
Townsend,,,U.S. House,1st,Republican,Total Votes Cast,157
Georgetown,,,State House,2nd Essex,Democratic,Harriett L. Stanley,35
Rochester,,,U.S. Senate,,Democratic,Total Votes Cast,110
Middleton,,,U.S. Senate,,Democratic,Edward M. Kennedy,128
TOTALS,,,State House,14th Suffolk,Democratic,All Others,0
Worthington,,,Governor's Council,8th,Democratic,Total Votes Cast,29
Stoneham,,,State Senate,3rd Middlesex,Democratic,Total Votes Cast,961
Belmont,,,Governor's Council,3rd,Democratic,Ruth E. Nemzoff,345
Stoneham,,,Governor's Council,6th,Democratic,Michael J. Callahan,663
Fall River,,,U.S. Senate,,Democratic,Total Votes Cast,9824
Agawam,,,State House,3rd Hampden,Democratic,Total Votes Cast,306
Northborough,,,U.S. Senate,,Libertarian,Total Votes Cast,6
Becket,,,U.S. House,1st,Republican,All Others,0
Dracut,,,Governor's Council,5th,Democratic,Patricia A. Dowling,841
Upton,,,U.S. Senate,,Democratic,Blank Votes,15
Franklin,,,U.S. House,3rd,Democratic,Blank Votes,80
Tolland,,,U.S. House,1st,Republican,Total Votes Cast,16
Wales,,,U.S. Senate,,Republican,Total Votes Cast,14
Marion,,,U.S. House,4th,Republican,All Others,2
Bedford,,,Governor's Council,3rd,Democratic,Ruth E. Nemzoff,95
Carver,,,State House,2nd Plymouth,Republican,Blank Votes,27
TOTALS,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",24188
N. Attleborough,,,Governor's Council,2nd,Democratic,All Others,0
Deerfield,,,U.S. House,1st,Democratic,All Others,0
Tyringham,,,Governor's Council,8th,Democratic,Blank Votes,5
Leverett,,,U.S. Senate,,Republican,All Others,0
TOTALS,,,State House,9th Norfolk,Republican,All Others,4
TOTALS,,,State House,6th Bristol,Democratic,David B. Sullivan,3737
N. Andover,,,U.S. House,6th,Republican,Total Votes Cast,332
TOTALS,,,State House,6th Essex,Republican,All Others,6
Carlisle,,,U.S. House,5th,Democratic,Blank Votes,0
Sutton,,,U.S. House,2nd,Democratic,Total Votes Cast,263
Dracut,,,State House,39th Middlesex,Democratic,Colleen M. Garry,1142
Norton,,,U.S. House,4th,Libertarian,All Others,1
Quincy,,,U.S. House,10th,Republican,All Others,29
Falmouth,,,State Senate,Cape and Islands,Republican,All Others,1
Pelham,,,State Senate,Hampshire and Franklin,Democratic,All Others,0
Ludlow,,,Governor's Council,8th,Democratic,Blank Votes,297
Lanesborough,,,U.S. Senate,,Democratic,Edward M. Kennedy,35
Granby,,,U.S. Senate,,Democratic,Total Votes Cast,108
TOTALS,,,State House,6th Plymouth,Republican,Francis L. Marini,614
TOTALS,,,State House,6th Norfolk,Democratic,Total Votes Cast,1134
Dudley,,,U.S. Senate,,Republican,Total Votes Cast,93
New Bedford,,,State House,13th Bristol,Democratic,Total Votes Cast,2363
W. Bridgewater,,,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Total Votes Cast,188
Huntington,,,Governor's Council,8th,Democratic,Edward M. O'Brien,32
Gardner,,,U.S. House,1st,Democratic,Total Votes Cast,631
Dudley,,,State House,6th Worcester,Republican,Jerry J. Jachimczyk,46
Dalton,,,U.S. Senate,,Republican,Blank Votes,17
Pepperell,,,Governor's Council,3rd,Democratic,Total Votes Cast,344
Webster,,,U.S. Senate,,Democratic,Blank Votes,127
New Marlborough,,,State Senate,"Berkshire, Hampden, Hampshire and Franklin",Democratic,All Others,1
Whitman,,,Governor's Council,2nd,Democratic,All Others,1
Concord,,,U.S. Senate,,Libertarian,Carla A. Howell,7
Dalton,,,U.S. House,1st,Republican,All Others,0
Needham,,,U.S. Senate,,Democratic,Total Votes Cast,1028
Hanover,,,State Senate,2nd Plymouth and Bristol,Democratic,"Robert S. Creedon, Jr.",369
N. Reading,,,U.S. House,6th,Democratic,Blank Votes,74
Essex,,,U.S. Senate,,Republican,All Others,0
Rowe,,,Governor's Council,8th,Republican,All Others,0
Hopedale,,,State Senate,2nd Worcester,Democratic,All Others,0
Plympton,,,State Senate,Plymouth and Barnstable,Republican,Total Votes Cast,57
Wareham,,,State Senate,Plymouth and Barnstable,Republican,All Others,1
Winchendon,,,U.S. House,1st,Democratic,Blank Votes,8
Lakeville,,,Governor's Council,1st,Democratic,Total Votes Cast,206
Orleans,,,U.S. House,10th,Democratic,Total Votes Cast,105
Boston,,,State House,17th Suffolk,,All Others,0
Bellingham,,,U.S. Senate,,Democratic,Edward M. Kennedy,236
Duxbury,,,State Senate,Plymouth and Norfolk,Democratic,Ted LeClair,175
Bellingham,,,Governor's Council,7th,Democratic,Total Votes Cast,294
Hawley,,,Governor's Council,8th,Democratic,Total Votes Cast,2
Dracut,,,State House,39th Middlesex,Republican,Blank Votes,64
Seekonk,,,Governor's Council,2nd,Democratic,All Others,0
Middleton,,,Governor's Council,5th,Democratic,Mary-Ellen Manning,96
Maynard,,,Governor's Council,3rd,Democratic,Manlyn Petitto M. Devaney,157
Kingston,,,State House,12th Plymouth,Republican,All Others,1
Spencer,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,Total Votes Cast,304
Brimfield,,,U.S. Senate,,Libertarian,Total Votes Cast,1
Carlisle,,,State Senate,5th Middlesex,Republican,Total Votes Cast,77
Savoy,,,U.S. Senate,,Republican,"Jack E. Robinson, III",8
Milford,,,U.S. House,2nd,Democratic,Blank Votes,145
Royalston,,,U.S. Senate,,Republican,Total Votes Cast,20
Marshfield,,,State House,4th Plymouth,Republican,Ronald B. Wheatley,302
TOTALS,,,State House,2nd Bristol,Republican,Total Votes Cast,311
Hanson,,,State House,6th Plymouth,Democratic,Blank Votes,201
Woburn,,,U.S. House,7th,Democratic,Edward J. Markey,1348
Tewksbury,,,U.S. Senate,,Republican,Total Votes Cast,352
TOTALS,,,State House,12th Suffolk,Democratic,Blank Votes,262
Lowell,,,State House,18th Middlesex,Democratic,Blank Votes,210
Sterling,,,State Senate,Worcester and Middlesex,Democratic,All Others,0
TOTALS,,,State House,1st Hampden,Republican,All Others,0
Andover,,,U.S. Senate,,Libertarian,All Others,0
Blandford,,,U.S. Senate,,Republican,Total Votes Cast,20
Yarmouth,,,Governor's Council,1st,Democratic,Total Votes Cast,413
Marblehead,,,U.S. Senate,,Libertarian,All Others,0
Uxbridge,,,U.S. Senate,,Democratic,Edward M. Kennedy,186
Boston,,,State Senate,Suffolk and Middlesex,Republican,John Hugo,101
Westford,,,U.S. Senate,,Democratic,Total Votes Cast,462
Winthrop,,,Governor's Council,6th,Democratic,All Others,0
Hanover,,,U.S. Senate,,Republican,All Others,7
Maynard,,,U.S. Senate,,Republican,All Others,2
N. Reading,,,U.S. Senate,,Libertarian,Carla A. Howell,6
Huntington,,,State House,2nd Berkshire,Democratic,Total Votes Cast,35
Malden,,,Governor's Council,6th,Democratic,Michael J. Callahan,1253
Millville,,,Governor's Council,7th,Democratic,Dennis P. McManus,80
Rockland,,,State Senate,Norfolk and Plymouth,Democratic,All Others,4
Winchendon,,,Governor's Council,7th,Democratic,Blank Votes,20
Athol,,,U.S. House,1st,Democratic,John W. Olver,97
Plainville,,,State Senate,"Norfolk, Bristol and Middlesex",Democratic,Cheryl A. Jacques,87
Berlin,,,U.S. House,3rd,Democratic,Blank Votes,10
Warren,,,State Senate,"Worcester, Hampden, Hampshire and Franklin",Democratic,All Others,1
Holbrook,,,U.S. House,10th,Republican,Blank Votes,31
Tolland,,,Governor's Council,8th,Democratic,Edward M. O'Brien,7
Sturbridge,,,Governor's Council,7th,Democratic,Total Votes Cast,568
Monson,,,U.S. House,2nd,Democratic,Joseph R. Fountain,9
New Braintree,,,U.S. House,1st,Republican,All Others,0
Hull,,,U.S. Senate,,Republican,All Others,0
Avon,,,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",179
