town,ward,precinct,office,district,party,candidate,votes
Cambridge,1,2,Governor's Council,6th,Democratic,All Others,5
Danvers,-,6,State Senate,2nd Essex,Democratic,Joan B. Lovely,196
Franklin,-,3,U.S. House,4th,Republican,Total Votes Cast,34
Boston,13,1,State Senate,2nd Suffolk,Democratic,Blank Votes,18
Worcester,1,4,Governor's Council,7th,Democratic,Blank Votes,55
Worcester,4,1,Governor's Council,7th,Republican,Total Votes Cast,5
TOTALS,,,State House,3rd Worcester,Special Republican,Dean Tran,747
Boston,14,3,State House,11th Suffolk,Democratic,Blank Votes,9
Boston,18,10,State Senate,Norfolk and Suffolk,Democratic,All Others,2
Boston,22,11,State Senate,2nd Suffolk and Middlesex,Democratic,Total Votes Cast,61
N. Andover,-,7,Governor's Council,5th,Democratic,Total Votes Cast,94
Winchester,-,6,State Senate,2nd Middlesex,Democratic,Leland Cheung,51
Fall River,8,A,U.S. House,4th,Democratic,Blank Votes,12
Bridgewater,-,5,State Senate,1st Plymouth and Bristol,Republican,All Others,0
Franklin,-,1,State Senate,"Norfolk, Bristol and Middlesex",Republican,All Others,2
Ayer,-,2,Governor's Council,3rd,Democratic,William Bishop Humphrey,4
Randolph,-,3,U.S. House,7th,Democratic,Total Votes Cast,297
Brockton,5,A,State House,9th Plymouth,Special Democratic,Shaynah Marie Barnes,51
Marshfield,-,5,State House,4th Plymouth,Republican,All Others,0
Whitman,-,4,Governor's Council,4th,Democratic,Total Votes Cast,55
TOTALS,,,State House,6th Plymouth,Democratic,All Others,3
Berkley,-,2,State Senate,1st Plymouth and Bristol,Republican,All Others,0
Agawam,-,4,State Senate,2nd Hampden and Hampshire,Republican,Blank Votes,9
Clinton,-,4,Governor's Council,7th,Republican,Total Votes Cast,12
Marlborough,5,2,State Senate,Middlesex and Worcester,Republican,All Others,0
Everett,3,2,State House,28th Middlesex,Democratic,Gerly Adrien,96
Sandwich,-,6,U.S. House,9th,Democratic,Blank Votes,9
Springfield,7,E,U.S. House,1st,Democratic,Total Votes Cast,155
Marlborough,7,2,Governor's Council,3rd,Democratic,Blank Votes,26
Cambridge,11,1,Governor's Council,6th,Democratic,Stephen Borelli,21
Randolph,-,8,U.S. House,7th,Democratic,Total Votes Cast,358
Weymouth,-,1,State House,4th Norfolk,Democratic,Blank Votes,11
Cambridge,8,2,State Senate,Middlesex and Suffolk,Democratic,Blank Votes,46
TOTALS,,,State House,3rd Plymouth,United Independent Party,Total Votes Cast,167
Waltham,3,1,U.S. House,5th,Democratic,All Others,1
Kingston,-,2,State House,12th Plymouth,Republican,Peter J. Boncek,70
Framingham,-,13,State House,7th Middlesex,Democratic,Total Votes Cast,217
Lowell,7,1,Governor's Council,5th,Republican,"Richard A. Baker, Jr.",11
Plymouth,-,8,Governor's Council,1st,Democratic,Blank Votes,24
Boston,3,6,Governor's Council,6th,Democratic,Blank Votes,32
Andover,-,1,U.S. House,6th,Democratic,All Others,0
Brockton,4,C,U.S. House,8th,Democratic,All Others,0
TOTALS,,,State House,3rd Hampden,Democratic,Total Votes Cast,2795
N. Attleborough,-,4,State Senate,"Norfolk, Bristol and Middlesex",Republican,Richard J. Ross,18
Pittsfield,3,B,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Andrea C. Harrington,182
Williamstown,-,3,State Senate,"Berkshire, Hampshire and Franklin",Republican,All Others,0
Boston,2,3,Governor's Council,6th,Democratic,Richard J. Dimeo,8
Pepperell,-,2,Governor's Council,5th,Democratic,Blank Votes,15
Peabody,2,3,State House,12th Essex,Democratic,Thomas P. Walsh,155
Boston,1,9,State Senate,1st Suffolk and Middlesex,Special Democratic,Steven Morabito,3
Braintree,-,1A,U.S. House,8th,Democratic,Blank Votes,1
Lowell,11,3,Governor's Council,5th,Democratic,Eileen R. Duff,69
Wrentham,-,2,U.S. House,4th,Democratic,All Others,1
Colrain,-,1,U.S. House,1st,Democratic,Blank Votes,12
E. Brookfield,-,1,Governor's Council,7th,Democratic,Total Votes Cast,21
Amherst,-,5,State House,3rd Hampshire,Democratic,Lawrence E. O'Brien,13
Fall River,4,B,U.S. House,9th,Democratic,Blank Votes,12
Peabody,1,1,U.S. House,6th,Democratic,All Others,5
Duxbury,-,3,Governor's Council,4th,Democratic,Total Votes Cast,96
Clinton,-,4,Governor's Council,7th,Democratic,Blank Votes,4
Chicopee,1,B,State House,8th Hampden,Democratic,Joseph F. Wagner,308
Bellingham,-,3,State Senate,Worcester and Norfolk,Republican,Total Votes Cast,27
Quincy,1,5,U.S. House,8th,Democratic,All Others,1
Walpole,-,7,State Senate,Bristol and Norfolk,Democratic,All Others,0
Boston,21,13,State House,18th Suffolk,Democratic,Total Votes Cast,237
Swansea,-,3,U.S. House,4th,Republican,Total Votes Cast,10
Stoneham,-,1,State Senate,5th Middlesex,Democratic,All Others,0
Scituate,-,1,State Senate,Plymouth and Norfolk,Republican,Total Votes Cast,52
Newburyport,2,1,State Senate,1st Essex,Democratic,Blank Votes,7
Hingham,-,5,State Senate,Plymouth and Norfolk,Republican,Patrick M. O'Connor,83
Newton,3,2,State House,11th Middlesex,Democratic,Kay S. Khan,123
Springfield,8,C,State Senate,Hampden,Democratic,Total Votes Cast,219
Dudley,-,3,Governor's Council,7th,Democratic,All Others,0
Westfield,6,B,U.S. House,1st,Democratic,Richard E. Neal,129
Lexington,-,5,Governor's Council,3rd,Democratic,All Others,0
Andover,-,1,U.S. House,6th,Democratic,Blank Votes,10
Athol,-,2,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Blank Votes,0
Chicopee,7,A,State Senate,2nd Hampden and Hampshire,Republican,Total Votes Cast,12
Needham,-,A,U.S. House,4th,Republican,Total Votes Cast,21
Worcester,2,2,Governor's Council,7th,Republican,Blank Votes,5
Quincy,1,2,U.S. House,8th,Democratic,All Others,0
TOTALS,,,State Senate,2nd Essex and Middlesex,Democratic,Total Votes Cast,8017
Townsend,-,1,Governor's Council,7th,Democratic,All Others,0
Duxbury,-,5,Governor's Council,4th,Democratic,All Others,0
Mansfield,-,4,U.S. House,4th,Republican,All Others,0
Revere,6,2,Governor's Council,6th,Democratic,Richard J. Dimeo,11
New Bedford,5,E,State Senate,2nd Bristol and Plymouth,Democratic,Blank Votes,12
Ashland,-,5,U.S. House,5th,Democratic,Total Votes Cast,269
Chicopee,5,A,U.S. House,1st,Democratic,Total Votes Cast,207
Swansea,-,5,State House,4th Bristol,Democratic,All Others,0
Westwood,-,4,State House,11th Norfolk,Democratic,All Others,0
New Bedford,5,F,State House,13th Bristol,Democratic,Total Votes Cast,70
Natick,-,10,U.S. House,5th,Democratic,Katherine M. Clark,93
Barnstable,-,13,U.S. House,9th,Republican,All Others,1
Weston,-,3,State Senate,3rd Middlesex,Democratic,Michael J. Barrett,39
Pittsfield,3,A,Governor's Council,8th,Democratic,All Others,1
Tewksbury,-,4,Governor's Council,5th,Democratic,All Others,2
Wareham,-,3,State Senate,1st Plymouth and Bristol,Democratic,Marc R. Pacheco,72
Tisbury,-,1,U.S. House,9th,Democratic,All Others,5
Conway,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Andrea C. Harrington,81
Tewksbury,-,3,State Senate,2nd Essex and Middlesex,Democratic,Barbara A. L'Italien,62
Cambridge,11,1,State House,24th Middlesex,Democratic,Blank Votes,47
Quincy,2,4,State Senate,Norfolk and Plymouth,Democratic,Blank Votes,7
Fall River,2,C,State Senate,1st Bristol and Plymouth,Democratic,Michael J. Rodrigues,35
Millville,-,1,U.S. House,2nd,Democratic,James P. McGovern,32
Hinsdale,-,1,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Adam G. Hinds,85
Norwell,-,2,State Senate,Plymouth and Norfolk,Republican,Patrick M. O'Connor,59
Longmeadow,-,B,State House,2nd Hampden,Democratic,Brian M. Ashe,305
Westfield,6,B,State Senate,2nd Hampden and Hampshire,Republican,"Donald F. Humason, Jr",49
Beverly,1,1,State Senate,2nd Essex,,All Others,1
Boston,17,1,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",51
Weymouth,-,1,U.S. House,8th,Democratic,Blank Votes,6
Norwood,-,3,U.S. House,8th,Republican,Blank Votes,4
Arlington,-,2,State House,24th Middlesex,Democratic,David M. Rogers,151
Raynham,-,2A,U.S. House,4th,Republican,David A. Rosa,7
Mattapoisett,-,1,Governor's Council,1st,Democratic,All Others,0
Belchertown,-,B,U.S. House,2nd,Democratic,All Others,3
Shrewsbury,-,8,State Senate,2nd Worcester,Democratic,Blank Votes,1
Andover,-,9,Governor's Council,5th,Democratic,All Others,0
W. Boylston,-,2,State Senate,1st Worcester,Democratic,All Others,1
Boston,4,3,U.S. House,7th,Democratic,Blank Votes,7
Ludlow,-,1,State House,7th Hampden,Democratic,All Others,4
Plymouth,-,3,State Senate,Plymouth and Barnstable,Republican,Blank Votes,4
Lexington,-,8,U.S. House,5th,Democratic,All Others,1
Barnstable,-,11,State Senate,Cape and Islands,Democratic,Total Votes Cast,274
Greenfield,-,8,Governor's Council,8th,Democratic,All Others,0
Abington,-,4,State Senate,Norfolk and Plymouth,Democratic,Blank Votes,9
Rutland,-,3,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Blank Votes,0
Newbury,-,2,Governor's Council,5th,Republican,All Others,0
Whately,-,1,State Senate,"Hampshire, Franklin and Worcester",Republican,All Others,0
Boston,1,2,State Senate,1st Suffolk and Middlesex,Special Democratic,Daniel Rizzo,33
Barnstable,-,9,Governor's Council,1st,Democratic,All Others,2
Adams,-,5,U.S. House,1st,Democratic,Blank Votes,23
Holden,-,5,State Senate,1st Worcester,Democratic,All Others,0
Lawrence,A,1,Governor's Council,5th,Republican,"Richard A. Baker, Jr.",7
Lexington,-,2,State Senate,4th Middlesex,Democratic,Kenneth J. Donnelly,194
Randolph,-,9,State House,7th Norfolk,Democratic,Total Votes Cast,299
Springfield,1,E,State House,10th Hampden,Democratic,All Others,2
Boston,13,4,Governor's Council,4th,Democratic,Total Votes Cast,75
Boston,19,7,Governor's Council,4th,Democratic,"Christopher A. Iannella, Jr.",135
Somerville,1,1,State House,26th Middlesex,Democratic,Total Votes Cast,388
Scituate,-,5,State Senate,Plymouth and Norfolk,Democratic,All Others,0
Ipswich,-,4,State House,4th Essex,Republican,Bradford R. Hill,43
Palmer,-,1A,State House,1st Hampden,Republican,All Others,0
Chelsea,3,2,State Senate,Middlesex and Suffolk,Democratic,All Others,0
New Ashford,-,1,Governor's Council,8th,Democratic,Jeffrey S. Morneau,5
Leominster,4,B,State Senate,Worcester and Middlesex,Democratic,Total Votes Cast,292
Dracut,-,6A,U.S. House,3rd,Democratic,Total Votes Cast,14
Lawrence,F,3,Governor's Council,5th,Republican,Blank Votes,4
Norwell,-,2,U.S. House,9th,Democratic,Blank Votes,17
Pembroke,-,4,State House,6th Plymouth,Republican,All Others,0
Milton,-,5,U.S. House,7th,Democratic,Total Votes Cast,484
Hamilton,-,1,State Senate,1st Essex and Middlesex,Republican,Total Votes Cast,71
Adams,-,1,U.S. House,1st,Democratic,Richard E. Neal,86
Andover,-,2,Governor's Council,5th,Republican,Total Votes Cast,74
N. Adams,3,3,State House,1st Berkshire,Democratic,All Others,0
Haverhill,6,2,U.S. House,3rd,Democratic,All Others,1
Boston,21,9,State House,17th Suffolk,Democratic,Kevin G. Honan,45
Revere,2,3A,State Senate,1st Suffolk and Middlesex,Democratic,All Others,0
Norton,-,3,U.S. House,4th,Republican,All Others,0
Brookline,-,9,U.S. House,4th,Republican,Blank Votes,1
Weymouth,-,5,State Senate,Plymouth and Norfolk,Democratic,Brian Richard Cook,25
Marlborough,3,1,State Senate,Middlesex and Worcester,Republican,Ted Busiek,15
Somerville,4,2,Governor's Council,6th,Democratic,All Others,0
Boston,9,4,U.S. House,7th,Democratic,Michael E. Capuano,126
Natick,-,7,Governor's Council,2nd,Democratic,All Others,0
Methuen,-,5,Governor's Council,5th,Democratic,Eileen R. Duff,88
Lowell,11,2,Governor's Council,5th,Republican,Blank Votes,4
Boston,5,8,State Senate,2nd Suffolk and Middlesex,Democratic,All Others,0
Springfield,4,G,U.S. House,1st,Democratic,Blank Votes,24
Seekonk,-,3,Governor's Council,2nd,Republican,Blank Votes,1
Lowell,8,1,U.S. House,3rd,Republican,Ann Wofford,12
Lynn,3,2,Governor's Council,6th,Democratic,Total Votes Cast,151
Tewksbury,-,2A,State Senate,2nd Essex and Middlesex,Democratic,Barbara A. L'Italien,55
Millville,-,1,State Senate,Worcester and Norfolk,Republican,Ryan C. Fattman,39
Falmouth,-,1,State House,"Barnstable, Dukes and Nantucket",Democratic,Jessica G. Lambert,33
Revere,5,3,Governor's Council,6th,Democratic,Terrence W. Kennedy,52
Boston,15,3,State House,5th Suffolk,Democratic,All Others,0
Boston,16,12,State Senate,1st Suffolk,Democratic,All Others,3
Fall River,1,B,State Senate,1st Bristol and Plymouth,Democratic,All Others,0
Winchendon,-,1A,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Total Votes Cast,7
Barnstable,-,7,State Senate,Cape and Islands,Republican,Total Votes Cast,324
New Bedford,2,A,Governor's Council,1st,Democratic,All Others,0
Pittsfield,4,A,State Senate,"Berkshire, Hampshire and Franklin",Republican,Christine M. Canning,25
Waltham,5,2,Governor's Council,3rd,Democratic,Total Votes Cast,67
Norton,-,2,State House,4th Bristol,Democratic,Blank Votes,10
Medway,-,4,State House,10th Norfolk,Democratic,Total Votes Cast,32
Peabody,4,3,State House,12th Essex,Special Democratic,Craig S. Welton,10
Acton,-,6,State House,14th Middlesex,Republican,All Others,0
Boston,19,9,State Senate,2nd Suffolk,Democratic,Roy A. Owens,9
Quincy,4,5,U.S. House,8th,Republican,Total Votes Cast,14
Boston,9,4,State Senate,2nd Suffolk,Democratic,Total Votes Cast,179
Marshfield,-,3,State Senate,Plymouth and Norfolk,Republican,Stephen D. Gill,56
Randolph,-,11,State Senate,"Norfolk, Bristol and Plymouth",Democratic,Nora Harrington,110
Sudbury,-,4,State House,13th Middlesex,Democratic,Total Votes Cast,99
Raynham,-,4,Governor's Council,1st,Democratic,Blank Votes,13
TOTALS,,,State House,16th Suffolk,Democratic,Blank Votes,414
Tewksbury,-,4,State Senate,2nd Essex and Middlesex,Republican,Total Votes Cast,53
Holyoke,3,B,State Senate,2nd Hampden and Hampshire,Democratic,Total Votes Cast,400
Boston,15,5,U.S. House,7th,Democratic,Blank Votes,22
Newburyport,2,1,Governor's Council,5th,Democratic,Blank Votes,68
Orange,-,1,Governor's Council,8th,Democratic,Blank Votes,1
Lancaster,-,1,U.S. House,3rd,Republican,Total Votes Cast,40
Erving,-,1,State Senate,"Hampshire, Franklin and Worcester",Republican,Donald Peltier,5
Boston,1,4,State House,1st Suffolk,Democratic,All Others,2
Bedford,-,4,State House,21st Middlesex,Democratic,Blank Votes,9
Mansfield,-,2,Governor's Council,2nd,Republican,Total Votes Cast,44
Dennis,-,1,State Senate,Cape and Islands,Republican,All Others,0
Weston,-,3,U.S. House,5th,Democratic,Katherine M. Clark,39
Springfield,2,F,U.S. House,1st,Democratic,All Others,5
Quincy,5,1,State House,2nd Norfolk,Democratic,Tackey Chan,52
TOTALS,,,State House,13th Norfolk,Democratic,Denise C. Garlick,852
Milton,-,6,U.S. House,8th,Republican,William Burke,36
Northborough,-,2,U.S. House,2nd,Democratic,All Others,0
New Bedford,3,C,Governor's Council,1st,Democratic,Blank Votes,5
Williamstown,-,2,State Senate,"Berkshire, Hampshire and Franklin",Democratic,Blank Votes,0
Boston,13,3,Governor's Council,4th,Democratic,Total Votes Cast,69
Yarmouth,-,1,State House,1st Barnstable,Republican,Total Votes Cast,246
Lawrence,A,3,State Senate,2nd Essex and Middlesex,Democratic,All Others,3
Boston,15,7,State House,5th Suffolk,Democratic,Melinda Stewart,15
TOTALS,,,State House,2nd Berkshire,Democratic,Total Votes Cast,2453
Swansea,-,4,State Senate,1st Bristol and Plymouth,Democratic,Total Votes Cast,23
Sandwich,-,2,State Senate,Plymouth and Barnstable,Republican,All Others,0
Somerset,-,1,U.S. House,4th,Republican,Blank Votes,2
Falmouth,-,1,U.S. House,9th,Democratic,William Richard Keating,822
Sudbury,-,5,State House,13th Middlesex,Democratic,Total Votes Cast,71
Milton,-,6,State House,7th Norfolk,Democratic,"William J. Driscoll, Jr",265
Salem,7,1,State Senate,2nd Essex,Democratic,Blank Votes,34
Boston,14,4,U.S. House,7th,Democratic,Total Votes Cast,88
Medford,2,1,State Senate,2nd Middlesex,Democratic,All Others,1
Everett,2,1,Governor's Council,6th,Democratic,Blank Votes,36
Plymouth,-,1,State House,12th Plymouth,Republican,Peter J. Boncek,47
Boston,21,3,Governor's Council,3rd,Democratic,Marilyn Petitto Devaney,17
Taunton,7,B,State House,3rd Bristol,Republican,Total Votes Cast,148
N. Adams,3,3,State House,1st Berkshire,Democratic,Total Votes Cast,139
Amherst,-,7,Governor's Council,8th,Democratic,Jeffrey S. Morneau,171
Revere,5,2,State Senate,1st Suffolk and Middlesex,Democratic,Joseph A. Boncore,16
TOTALS,,,State House,6th Plymouth,Republican,Vince Cogliano,741
Grafton,-,2,State Senate,2nd Worcester,Democratic,Blank Votes,0
Lynn,4,2,Governor's Council,6th,Democratic,Blank Votes,11
Boston,19,4,U.S. House,8th,Republican,Blank Votes,0
Leominster,2,C,State Senate,Worcester and Middlesex,Democratic,Blank Votes,16
Weymouth,-,17,State Senate,Plymouth and Norfolk,Democratic,Blank Votes,4
Braintree,-,2B,U.S. House,8th,Democratic,All Others,22
Swansea,-,3,Governor's Council,1st,Democratic,Total Votes Cast,36
Avon,-,1,State House,6th Norfolk,Democratic,Blank Votes,28
Boston,4,3,State House,3rd Suffolk,Democratic,Total Votes Cast,97
Lynn,4,4,State Senate,3rd Essex,Democratic,All Others,2
Kingston,-,4,U.S. House,9th,Democratic,All Others,0
Worcester,3,5,State Senate,1st Worcester,Democratic,Blank Votes,7
Fall River,1,C,State Senate,1st Bristol and Plymouth,Democratic,Michael J. Rodrigues,43
Tyngsborough,-,1,State House,36th Middlesex,Democratic,Blank Votes,14
Lynn,7,4,State Senate,3rd Essex,Democratic,Thomas M. McGee,97
Barnstable,-,9,Governor's Council,1st,Democratic,Joseph C. Ferreira,69
Essex,-,1,Governor's Council,5th,Republican,Blank Votes,18
Bourne,-,7,State Senate,Plymouth and Barnstable,Republican,Total Votes Cast,93
Merrimac,-,1,U.S. House,6th,Democratic,All Others,2
Petersham,-,1,State House,2nd Franklin,Democratic,Total Votes Cast,44
Bellingham,-,3,U.S. House,4th,Republican,All Others,0
Danvers,-,5,Governor's Council,5th,Republican,Blank Votes,16
Milton,-,4,U.S. House,8th,Republican,William Burke,32
Gloucester,3,1,U.S. House,6th,Democratic,Seth W. Moulton,96
Abington,-,2,U.S. House,8th,Democratic,Stephen F. Lynch,35
Barre,-,2,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Blank Votes,0
Worcester,9,2,State Senate,1st Worcester,Democratic,Blank Votes,5
Quincy,4,1,State House,1st Norfolk,Democratic,All Others,1
Dartmouth,-,4,U.S. House,9th,Democratic,Blank Votes,2
Lowell,1,2,U.S. House,3rd,Democratic,Total Votes Cast,205
Belmont,-,5,State Senate,2nd Suffolk and Middlesex,Democratic,All Others,2
Billerica,-,8,Governor's Council,3rd,Democratic,Peter Georgiou,11
Marshfield,-,7,State Senate,Plymouth and Norfolk,Republican,Patrick M. O'Connor,33
Wilbraham,-,D,Governor's Council,8th,Democratic,Mary E. Hurley,296
Lynn,3,1,State House,10th Essex,Democratic,Daniel H. Cahill,39
Hampden,-,1,U.S. House,1st,Democratic,Richard E. Neal,341
Acushnet,-,3,U.S. House,9th,Democratic,Blank Votes,1
TOTALS,,,State Senate,1st Suffolk and Middlesex,Democratic,Joseph A. Boncore,4013
Newton,1,2,Governor's Council,3rd,Democratic,All Others,0
Canton,-,2,State House,6th Norfolk,Democratic,All Others,1
Middlefield,-,1,State Senate,"Berkshire, Hampshire and Franklin",Republican,Total Votes Cast,12
Cambridge,6,3,State Senate,Middlesex and Suffolk,Democratic,Sal N. DiDomenico,255
Millis,-,2,U.S. House,4th,Democratic,All Others,0
Rehoboth,-,3,U.S. House,4th,Republican,Total Votes Cast,45
TOTALS,,,State House,12th Plymouth,Democratic,Total Votes Cast,1084
Natick,-,6,State House,5th Middlesex,Democratic,All Others,0
Bourne,-,3,U.S. House,9th,Democratic,William Richard Keating,72
New Bedford,3,C,U.S. House,9th,Republican,Blank Votes,0
N. Adams,5,5,Governor's Council,8th,Democratic,Blank Votes,43
Templeton,-,A,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Blank Votes,1
Watertown,-,7,State House,29th Middlesex,Democratic,Jonathan Hecht,143
Boston,10,1,U.S. House,7th,Democratic,All Others,0
Northborough,-,1,Governor's Council,7th,Democratic,Matthew Cj Vance,55
Lunenburg,-,C,U.S. House,3rd,Democratic,Nicola S. Tsongas,29
Boston,4,10,State Senate,2nd Suffolk and Middlesex,Democratic,William N. Brownsberger,17
Dalton,-,2,U.S. House,1st,Democratic,Richard E. Neal,245
Georgetown,-,3,Governor's Council,5th,Republican,Total Votes Cast,37
Raynham,-,2,State House,8th Plymouth,Republican,All Others,0
Medford,3,2,State House,23rd Middlesex,Democratic,Total Votes Cast,495
S. Hadley,-,B,U.S. House,1st,Democratic,Blank Votes,50
Northbridge,-,2,U.S. House,2nd,Democratic,Total Votes Cast,38
Boston,19,8,U.S. House,8th,Republican,Total Votes Cast,1
Leicester,-,2,Governor's Council,7th,Democratic,Total Votes Cast,229
Norwell,-,3,State House,5th Plymouth,Republican,Total Votes Cast,74
Barre,-,1,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Republican,Blank Votes,6
Somerville,1,1,State Senate,2nd Middlesex,Democratic,All Others,1
Andover,-,9,Governor's Council,5th,Democratic,Blank Votes,20
Chicopee,4,A,U.S. House,1st,Democratic,All Others,11
N. Adams,4,4,Governor's Council,8th,Democratic,Total Votes Cast,184
New Bedford,5,A,U.S. House,9th,Republican,Blank Votes,0
Dedham,-,7,U.S. House,8th,Republican,Total Votes Cast,40
Cambridge,6,2,State Senate,Middlesex and Suffolk,Democratic,All Others,0
Walpole,-,1,State Senate,Bristol and Norfolk,Democratic,All Others,0
Newton,1,4,U.S. House,4th,Republican,Blank Votes,0
Needham,-,J,U.S. House,4th,Republican,Total Votes Cast,15
Ashland,-,1,State Senate,2nd Middlesex and Norfolk,Democratic,Blank Votes,32
Fitchburg,2,A,State Senate,Worcester and Middlesex,Democratic,Jennifer L. Flanagan,94
Worcester,8,2,Governor's Council,7th,Democratic,All Others,2
Shrewsbury,-,9,U.S. House,2nd,Democratic,Blank Votes,0
Mattapoisett,-,1,U.S. House,9th,Republican,Mark C. Alliegro,96
Topsfield,-,1,Governor's Council,5th,Republican,Blank Votes,49
Lynn,4,1,State House,10th Essex,Democratic,Blank Votes,17
Mansfield,-,1,State House,14th Bristol,Republican,Blank Votes,0
Leominster,3,B,State Senate,Worcester and Middlesex,Democratic,Jennifer L. Flanagan,158
Concord,-,2,U.S. House,3rd,Democratic,All Others,1
Ware,-,B,State Senate,"Worcester, Hampden, Hampshire and Middlesex",Democratic,Total Votes Cast,97
Worcester,7,4,State Senate,2nd Worcester,Republican,Mesfin H. Beshir,30
Newton,2,2,State Senate,1st Middlesex and Norfolk,Democratic,Cynthia Stone Creem,107
Great Barrington,-,C,U.S. House,1st,Democratic,Blank Votes,24
Boston,13,2,State Senate,2nd Suffolk,Democratic,Total Votes Cast,40
Franklin,-,1,State Senate,"Norfolk, Bristol and Middlesex",Republican,Total Votes Cast,28
Boston,16,2,State House,13th Suffolk,Democratic,Blank Votes,10
Milton,-,1,Governor's Council,2nd,Republican,Total Votes Cast,15
Rockland,-,2,U.S. House,9th,Democratic,Blank Votes,33
Boston,2,6,State Senate,Middlesex and Suffolk,Democratic,Total Votes Cast,183
Hingham,-,4,State Senate,Plymouth and Norfolk,Republican,All Others,2
Brockton,1,B,State House,11th Plymouth,Democratic,Claire D. Cronin,64
Salem,2,1,U.S. House,6th,Democratic,Total Votes Cast,162
Weston,-,4,State House,14th Norfolk,Democratic,All Others,0
Springfield,2,D,U.S. House,1st,Democratic,All Others,4
Holyoke,7,A,State Senate,2nd Hampden and Hampshire,Republican,"Donald F. Humason, Jr",26
Boston,5,5,State Senate,1st Suffolk and Middlesex,Democratic,Blank Votes,0
Pembroke,-,5,U.S. House,9th,Republican,"Thomas Joseph O'Malley, Jr",29
Boston,1,4,Governor's Council,6th,Democratic,Stephen Borelli,14
Carver,-,1,State House,2nd Plymouth,,All Others,1
Marlborough,5,1,State House,4th Middlesex,Democratic,Total Votes Cast,93
Attleboro,5,A,Governor's Council,2nd,Republican,Total Votes Cast,12
Hingham,-,6,State Senate,Plymouth and Norfolk,Republican,Patrick M. O'Connor,114
Lakeville,-,2,State House,12th Bristol,Republican,Blank Votes,2
Huntington,-,1,Governor's Council,8th,Democratic,Blank Votes,8
Beverly,3,2,State House,6th Essex,United Independent Party,Blank Votes,0
Brookline,-,1,Governor's Council,3rd,Democratic,William Bishop Humphrey,41
Stockbridge,-,1,U.S. House,1st,Democratic,Total Votes Cast,270
Brockton,5,A,State House,9th Plymouth,Special Democratic,Total Votes Cast,124
Middleborough,-,4,State Senate,1st Plymouth and Bristol,Republican,Blank Votes,13
Billerica,-,3,State House,22nd Middlesex,Republican,All Others,0
Rockland,-,5,Governor's Council,4th,Democratic,Blank Votes,30
Bridgewater,-,6,State Senate,1st Plymouth and Bristol,Republican,Blank Votes,4
Revere,5,3,State Senate,1st Suffolk and Middlesex,Special Democratic,Jay D. Livingstone,34
Boston,20,6,U.S. House,8th,Democratic,Blank Votes,66
Rehoboth,-,2,Governor's Council,2nd,Democratic,All Others,0
Chicopee,2,B,State Senate,Hampden,Democratic,Blank Votes,66
Millbury,-,3,Governor's Council,7th,Republican,Total Votes Cast,35
Truro,-,1,U.S. House,9th,Republican,All Others,0
Saugus,-,4,U.S. House,6th,Democratic,Blank Votes,30
New Bedford,3,B,U.S. House,9th,Democratic,Total Votes Cast,23
Ashland,-,2,Governor's Council,2nd,Democratic,Robert L. Jubinville,209
Wellesley,-,F,Governor's Council,2nd,Republican,Total Votes Cast,12
Fall River,8,A,U.S. House,4th,Democratic,Total Votes Cast,58
Dennis,-,5,State House,1st Barnstable,Republican,Blank Votes,14
TOTALS,,,State House,4th Worcester,Democratic,Natalie Higgins,1475
Sudbury,-,2,State Senate,Middlesex and Worcester,Republican,Ted Busiek,14
Cambridge,10,3,Governor's Council,6th,Democratic,Terrence W. Kennedy,213
Acushnet,-,3,State House,11th Bristol,Democratic,Total Votes Cast,46
Duxbury,-,2,U.S. House,9th,Democratic,Total Votes Cast,125
Kingston,-,2,Governor's Council,1st,Democratic,Blank Votes,19
Northampton,3,A,State House,1st Hampshire,Democratic,All Others,0
Weymouth,-,5,State Senate,Plymouth and Norfolk,Republican,Stephen D. Gill,7
Milton,-,6,U.S. House,8th,Republican,All Others,4
Winthrop,-,1,Governor's Council,6th,Democratic,Stephen Borelli,36
Bourne,-,2,U.S. House,9th,Republican,Total Votes Cast,138
Holyoke,3,A,State House,5th Hampden,Democratic,Blank Votes,48
Abington,-,1,Governor's Council,4th,Democratic,Blank Votes,1
TOTALS,,,Governor's Council,5th,Democratic,All Others,318
Taunton,6,A,State House,5th Bristol,Democratic,Patricia A. Haddad,39
Fairhaven,-,6,State House,10th Bristol,Democratic,William M. Straus,23
Peabody,5,1,State House,12th Essex,Democratic,Thomas P. Walsh,102
TOTALS,,,State House,7th Middlesex,Democratic,Total Votes Cast,2248
Kingston,-,3,State House,12th Plymouth,Republican,Peter J. Boncek,73
Wellesley,-,E,Governor's Council,3rd,Democratic,William Bishop Humphrey,43
